index,Test Set,Expected,Actual,English-Latin1,French_Francais-Latin1,Spanish-Latin1,Italian-Latin1,German_Deutsch-Latin1
0-English-Latin1,education,English-Latin1,French_Francais-Latin1,0.4331906795260559,0.4439820268640834,0.28163821928314264,0.2939144536727727,0.30644676038414703
0-French_Francais-Latin1,en,French_Francais-Latin1,German_Deutsch-Latin1,0.3715714022036735,0.39244812535515194,0.4422757087149165,0.3505623696698028,0.4725702441744251
0-Spanish-Latin1,Los,Spanish-Latin1,Spanish-Latin1,0.5297472334154186,0.28795483061480553,0.4508420345534683,0.1592802137356593,0.3920885735784156
0-Italian-Latin1,Articolo,Italian-Latin1,English-Latin1,0.2789848576466895,0.3095167757603174,0.23682660724998206,0.2956645936232108,0.29116404972475246
0-German_Deutsch-Latin1,Menschen,German_Deutsch-Latin1,German_Deutsch-Latin1,0.47703108216787493,0.27085802962648514,0.28068408313488574,0.2698565253532425,0.327481441090629
1-English-Latin1,marriage,English-Latin1,French_Francais-Latin1,0.33553630405385687,0.4237171889281777,0.25130766888303774,0.29258547565282844,0.29466097609438463
1-French_Francais-Latin1,plein,French_Francais-Latin1,English-Latin1,0.32826243698186713,0.37645423552307977,0.31405683951455704,0.2523936876446265,0.33202491423857783
1-Spanish-Latin1,individuos,Spanish-Latin1,Italian-Latin1,0.3433146537823055,0.23827435562662208,0.34412883239819764,0.4178359289655701,0.21183341896800964
1-Italian-Latin1,almeno,Italian-Latin1,Italian-Latin1,0.466302792128827,0.32247757393501303,0.16769948825628492,0.4241059403462746,0.2889316485523179
1-German_Deutsch-Latin1,zu,German_Deutsch-Latin1,German_Deutsch-Latin1,0.4629638009049774,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
2-English-Latin1,marriage,English-Latin1,French_Francais-Latin1,0.33553630405385687,0.4237171889281777,0.25130766888303774,0.29258547565282844,0.29466097609438463
2-French_Francais-Latin1,droit,French_Francais-Latin1,French_Francais-Latin1,0.4637340490468493,0.23513725566481536,0.12757465611859453,0.13118488319420177,0.32237846594505737
2-Spanish-Latin1,ser,Spanish-Latin1,German_Deutsch-Latin1,0.3735599160074084,0.3631980733611851,0.385596422415162,0.38808325887533807,0.41632862183376323
2-Italian-Latin1,e,Italian-Latin1,Spanish-Latin1,0.40912232204561166,0.41116687578419076,0.41650717703349277,0.42495003300145945,0.41038374717832954
2-German_Deutsch-Latin1,Falle,German_Deutsch-Latin1,French_Francais-Latin1,0.36842075537457186,0.34849551398871165,0.4321991921656439,0.26349117064960553,0.37512015095345747
3-English-Latin1,international,English-Latin1,French_Francais-Latin1,0.3908252902253818,0.4293982958832903,0.3498820505187099,0.3103558403441779,0.3564849911021075
3-French_Francais-Latin1,De,French_Francais-Latin1,Spanish-Latin1,0.5711340678739215,0.43514610547232885,0.5899879958473817,0.4109303535485409,0.4331871787323996
3-Spanish-Latin1,de,Spanish-Latin1,French_Francais-Latin1,0.4793536324786325,0.43514610547232885,0.5723932062386812,0.4109303535485409,0.4331871787323996
3-Italian-Latin1,libertà,Italian-Latin1,Italian-Latin1,0.4150033924998514,0.16102577044424438,0.3907417355928364,0.2780981532932427,0.19479763849888432
3-German_Deutsch-Latin1,die,German_Deutsch-Latin1,German_Deutsch-Latin1,0.4318806702217762,0.3546673578041206,0.3584646817259599,0.358550341893409,0.4312998237160931
4-English-Latin1,economic,English-Latin1,French_Francais-Latin1,0.2167072648382491,0.2881424546498836,0.16429174027763396,0.17816695953380035,0.10849322799097065
4-French_Francais-Latin1,elles,French_Francais-Latin1,French_Francais-Latin1,0.4833137954440073,0.3086789751051103,0.3668998790622372,0.20795154525091109,0.34710913643946
4-Spanish-Latin1,o,Spanish-Latin1,Italian-Latin1,0.40337881741390513,0.4193224592220828,0.2061004784688995,0.47813011438130115,0.40511662904439427
4-Italian-Latin1,volontà,Italian-Latin1,Italian-Latin1,0.36277106341066934,0.17866654267998694,0.30532756439065556,0.1588861659528393,0.13837990562529137
4-German_Deutsch-Latin1,an,German_Deutsch-Latin1,English-Latin1,0.3801507166708311,0.4596738549757271,0.34718899521531094,0.3730740723339176,0.35038503850385033
5-English-Latin1,right,English-Latin1,English-Latin1,0.4556987770519455,0.23283941001199265,0.11987330252243658,0.17398867079690425,0.30562075614525486
5-French_Francais-Latin1,l,French_Francais-Latin1,Italian-Latin1,0.42496378056248413,0.40313676286072775,0.4197562540089802,0.4452145214521453,0.4022573363431151
5-Spanish-Latin1,humanidad,Spanish-Latin1,Spanish-Latin1,0.47863442925931926,0.37868091087204864,0.31851382215477386,0.33948520976299085,0.2010794317361384
5-Italian-Latin1,tali,Italian-Latin1,Italian-Latin1,0.34469528915981695,0.17823365083974677,0.30548201637114175,0.2978831112303806,0.3209837760900266
5-German_Deutsch-Latin1,und,German_Deutsch-Latin1,English-Latin1,0.47559835549310453,0.5802250156275234,0.43181818181818177,0.44725450944180906,0.3757824683567258
6-English-Latin1,be,English-Latin1,German_Deutsch-Latin1,0.4048387467927698,0.33393141945773525,0.349233191439734,0.3672167216721672,0.4801803778948248
6-French_Francais-Latin1,tenu,French_Francais-Latin1,French_Francais-Latin1,0.29017246458302004,0.15787190905246345,0.28008022246924225,0.16777274003996145,0.2876868287844586
6-Spanish-Latin1,derechos,Spanish-Latin1,Spanish-Latin1,0.4446447130047311,0.2526723818782705,0.33549808923485114,0.15391708718270258,0.3854130355459793
6-Italian-Latin1,qualsiasi,Italian-Latin1,Spanish-Latin1,0.3037430712188832,0.21623700826007058,0.25286117391380547,0.3193818054009498,0.16312997347480104
6-German_Deutsch-Latin1,Artikel,German_Deutsch-Latin1,French_Francais-Latin1,0.23139875876519156,0.30885576403660503,0.3206130717563451,0.3040514938242493,0.30985464355572684
7-English-Latin1,guarantees,English-Latin1,Spanish-Latin1,0.23418218275669536,0.26581862595892575,0.2908788452332342,0.20514138098916973,0.22959317701972873
7-French_Francais-Latin1,l,French_Francais-Latin1,Italian-Latin1,0.42496378056248413,0.40313676286072775,0.4197562540089802,0.4452145214521453,0.4022573363431151
7-Spanish-Latin1,han,Spanish-Latin1,Italian-Latin1,0.3272245467897642,0.37851503664859226,0.33882053618895724,0.4663152029488663,0.43915171568563005
7-Italian-Latin1,tutela,Italian-Latin1,Italian-Latin1,0.3916385877679307,0.24414697476648542,0.35883135945882044,0.30688831270043176,0.2076025654806693
7-German_Deutsch-Latin1,das,German_Deutsch-Latin1,Spanish-Latin1,0.3175727747348628,0.3945247976615605,0.3623784840890104,0.40749572910679605,0.17523283944319493
8-English-Latin1,to,English-Latin1,Italian-Latin1,0.38194017101029915,0.28128811333145703,0.462075831785163,0.49365354568243713,0.33383496363180337
8-French_Francais-Latin1,de,French_Francais-Latin1,Spanish-Latin1,0.4135624387830749,0.43514610547232885,0.5899879958473817,0.4109303535485409,0.4331871787323996
8-Spanish-Latin1,sin,Spanish-Latin1,German_Deutsch-Latin1,0.3150296808419381,0.36364191133429696,0.30285038615347143,0.35181186743153287,0.38521923001935254
8-Italian-Latin1,tratta,Italian-Latin1,English-Latin1,0.3095724396649083,0.32374000609007253,0.2765599266876263,0.2921795601639958,0.29306288294098676
8-German_Deutsch-Latin1,Souveränität,German_Deutsch-Latin1,German_Deutsch-Latin1,0.29586660012151733,0.20748310411696547,0.22538331999974776,0.10471795763319805,0.12720340491407
9-English-Latin1,territories,English-Latin1,German_Deutsch-Latin1,0.2718678906490356,0.28762323988677,0.2769755934938841,0.17597424174936666,0.30377470443110943
9-French_Francais-Latin1,l,French_Francais-Latin1,Italian-Latin1,0.42496378056248413,0.40313676286072775,0.4197562540089802,0.4452145214521453,0.4022573363431151
9-Spanish-Latin1,hayan,Spanish-Latin1,French_Francais-Latin1,0.27057597588383153,0.2898960795555117,0.36105794790005313,0.33575357535753575,0.3274779384910143
9-Italian-Latin1,questi,Italian-Latin1,Italian-Latin1,0.4695552262785993,0.12542889820815858,0.4075871496924128,0.4199635088850536,0.20987878787878786
9-German_Deutsch-Latin1,auf,German_Deutsch-Latin1,German_Deutsch-Latin1,0.3640476415786999,0.30900760733026467,0.33047854266142795,0.15997340867929968,0.15931620811850772
10-English-Latin1,Everyone,English-Latin1,English-Latin1,0.3947399225942981,0.28723929579192736,0.26226587980951416,0.3510039669627117,0.29590238172737154
10-French_Francais-Latin1,liberté,French_Francais-Latin1,French_Francais-Latin1,0.42820586654174325,0.16102577044424438,0.2780981532932427,0.39733004341475486,0.19479763849888432
10-Spanish-Latin1,tienen,Spanish-Latin1,German_Deutsch-Latin1,0.2673966851265999,0.2649815802473179,0.25470011379467533,0.2526239635735161,0.30091245646775366
10-Italian-Latin1,individuo,Italian-Latin1,Spanish-Latin1,0.23782408821844747,0.25660315221328533,0.21675412719805903,0.39636203370438056,0.22812829735016424
10-German_Deutsch-Latin1,Männer,German_Deutsch-Latin1,German_Deutsch-Latin1,0.3322977290542173,0.2246353750807954,0.29396921091555833,0.22210458125954,0.2210626930516817
11-English-Latin1,a,English-Latin1,Spanish-Latin1,0.42906091370558375,0.45691456404254593,0.5105869759726757,0.44755882039816886,0.42221676971897804
11-French_Francais-Latin1,personne,French_Francais-Latin1,German_Deutsch-Latin1,0.31505311006308073,0.35003403286025625,0.4016187856433418,0.37404095317684716,0.40370674205060847
11-Spanish-Latin1,vida,Spanish-Latin1,Spanish-Latin1,0.4528553127892056,0.347535898508295,0.3447966507177034,0.4033850909762029,0.2737856366524538
11-Italian-Latin1,sia,Italian-Latin1,Spanish-Latin1,0.3623091497291381,0.30171788688099854,0.29808848139156663,0.37286668019764363,0.31831764924315714
11-German_Deutsch-Latin1,außereheliche,German_Deutsch-Latin1,German_Deutsch-Latin1,0.3257518280170816,0.20841416675222402,0.16635621652840804,0.16092221265669082,0.2542473345022924
12-English-Latin1,Article,English-Latin1,French_Francais-Latin1,0.25791780982252954,0.48522279195364637,0.26423140679053997,0.4041567259917845,0.3419612936818042
12-French_Francais-Latin1,l,French_Francais-Latin1,Italian-Latin1,0.42496378056248413,0.40313676286072775,0.4197562540089802,0.4452145214521453,0.4022573363431151
12-Spanish-Latin1,su,Spanish-Latin1,French_Francais-Latin1,0.19654204143732937,0.19101935287631647,0.35926414783039107,0.2165749908324166,0.3501584695715621
12-Italian-Latin1,il,Italian-Latin1,French_Francais-Latin1,0.36058417121849956,0.35172466926412643,0.426266779015328,0.35577293136626037,0.34098319538500127
12-German_Deutsch-Latin1,frei,German_Deutsch-Latin1,German_Deutsch-Latin1,0.4466324944357524,0.2764090177509765,0.26020484449760767,0.2620044900577293,0.39414191419141914
13-English-Latin1,are,English-Latin1,Italian-Latin1,0.35134180433734297,0.3826975466789931,0.3464699177131258,0.43472156739483475,0.35168818520866046
