index,Test Set,Expected,Actual,English-Latin1,French_Francais-Latin1,Spanish-Latin1,Italian-Latin1,German_Deutsch-Latin1
0-English-Latin1,Everyone has the right to equal access to public service in his country,English-Latin1,English-Latin1,0.49386977845224656,0.3143758060716665,0.3317506227463446,0.3292515184290066,0.3004281389159251
0-French_Francais-Latin1,Article Toute personne a droit au repos et aux loisirs et notamment à une limitation raisonnable de la durée du travail et à des congés payés périodiques,French_Francais-Latin1,French_Francais-Latin1,0.47264914065916525,0.32145040340918984,0.309362589597502,0.26904821573106186,0.31972021693752356
0-Spanish-Latin1,Artículo Todo individuo tiene derecho a la libertad de opinión y de expresión este derecho incluye el no ser molestado a causa de sus opiniones el de investigar y recibir informaciones y opiniones y el de difundirlas sin limitación de fronteras por cualquier medio de expresión,Spanish-Latin1,Spanish-Latin1,0.4658284100770214,0.3443868175821441,0.3697716202640905,0.31956866362870817,0.31648805169347904
0-Italian-Latin1,Articolo Tutti gli esseri umani nascono liberi ed eguali in dignità e diritti,Italian-Latin1,Italian-Latin1,0.45961290892240564,0.2757928317615532,0.30587261300846724,0.33212750264663415,0.2934400214622428
0-German_Deutsch-Latin1,Die Allgemeine Erklärung der Menschenrechte Resolution A III vom,German_Deutsch-Latin1,German_Deutsch-Latin1,0.4170056283555353,0.3145448241724409,0.300554884748978,0.3120720304468336,0.28768840874177537
1-English-Latin1,Article Everyone has the right to a nationality,English-Latin1,English-Latin1,0.5334632174748178,0.34866062760400074,0.32647544485234475,0.34534038269836526,0.3472641119590717
1-French_Francais-Latin1,La maternité et l enfance ont droit à une aide et à une assistance spéciales,French_Francais-Latin1,French_Francais-Latin1,0.4884734614280791,0.3451765830672988,0.28684192597178737,0.3063007949783494,0.317945302746665
1-Spanish-Latin1,Artículo Toda persona tiene derecho a la propiedad individual y colectivamente,Spanish-Latin1,Spanish-Latin1,0.4902908327174332,0.3387964386612908,0.35504482621013167,0.3535555085804001,0.2956776349148993
1-Italian-Latin1,Nessuno può essere costretto a far parte di un associazione,Italian-Latin1,Italian-Latin1,0.4162140431272385,0.3262934116660242,0.3331083776064899,0.3386863249877402,0.3230533291547239
1-German_Deutsch-Latin1,da die Nichtanerkennung und Verachtung der Menschenrechte zu Akten der Barbarei geführt haben die das Gewissen der Menschheit mit Empörung erfüllen und da verkündet worden ist daß einer Welt in der die Menschen Rede und Glaubensfreiheit und Freiheit von Furcht und Not genießen das höchste Streben des Menschen gilt,German_Deutsch-Latin1,German_Deutsch-Latin1,0.45179191336390584,0.32904619531823864,0.31129740840257175,0.29465553470899364,0.2622387044133628
2-English-Latin1,Article Everyone is entitled to a social and international order in which the rights and freedoms set forth in this Declaration can be fully realized,English-Latin1,English-Latin1,0.46794579795967733,0.32447187076705414,0.3089168407742743,0.29625246677698686,0.35063239076428077
2-French_Francais-Latin1,Article Nul ne sera tenu en esclavage ni en servitude l esclavage et la traite des esclaves sont interdits sous toutes leurs formes,French_Francais-Latin1,French_Francais-Latin1,0.42083804871104863,0.3375603522926255,0.35014027039066065,0.28773977725158023,0.3334382899931559
2-Spanish-Latin1,Artículo Todo individuo tiene derecho a la libertad de opinión y de expresión este derecho incluye el no ser molestado a causa de sus opiniones el de investigar y recibir informaciones y opiniones y el de difundirlas sin limitación de fronteras por cualquier medio de expresión,Spanish-Latin1,Spanish-Latin1,0.4658284100770214,0.3443868175821441,0.3697716202640905,0.31956866362870817,0.31648805169347904
2-Italian-Latin1,Articolo Nessun individuo potrà essere tenuto in stato di schiavitù o di servitù la schiavitù e la tratta degli schiavi saranno proibite sotto qualsiasi forma,Italian-Latin1,Italian-Latin1,0.42053857709172826,0.29282352561373115,0.2878643009760901,0.33052560630463035,0.28964752944335814
2-German_Deutsch-Latin1,Artikel Jeder hat das Recht sich innerhalb eines Staates frei zu bewegen und seinen Aufenthaltsort frei zu wählen,German_Deutsch-Latin1,German_Deutsch-Latin1,0.4817029786920035,0.2901700372452038,0.28436881323654206,0.27382065113310067,0.22507290835340207
3-English-Latin1,Whereas the peoples of the United Nations have in the Charter reaffirmed their faith in fundamental human rights in the dignity and worth of the human person and in the equal rights of men and women and have determined to promote social progress and better standards of life in larger freedom,English-Latin1,English-Latin1,0.4847015501264809,0.3276879524259533,0.3214293977140019,0.317519193621053,0.34699811349953186
3-French_Francais-Latin1,L Assemblée générale,French_Francais-Latin1,French_Francais-Latin1,0.3813583722747193,0.29618205272931697,0.27261554193711673,0.32890599737552373,0.28446404806764997
3-Spanish-Latin1,Artículo Nadie estará sometido a esclavitud ni a servidumbre la esclavitud y la trata de esclavos están prohibidas en todas sus formas,Spanish-Latin1,Spanish-Latin1,0.4272580704188961,0.31477144270470037,0.3552423161419467,0.3051944940461894,0.3114122951412606
3-Italian-Latin1,Articolo Nessun individuo potrà essere sottoposto ad interferenze arbitrarie nella sua vita privata nella sua famiglia nella sua casa nella sua corrispondenza né a lesione del suo onore e della sua reputazione,Italian-Latin1,Italian-Latin1,0.4333003196347369,0.2927925338281778,0.3126887443608616,0.3415949787308341,0.28196745784120797
3-German_Deutsch-Latin1,Artikel Niemand darf willkürlich festgenommen in Haft gehalten oder des Landes verwiesen werden,German_Deutsch-Latin1,German_Deutsch-Latin1,0.4505536331146391,0.3123195565208989,0.29228545092363595,0.2733005365986987,0.23760284518691635
4-English-Latin1,Article Everyone has the right to life liberty and security of person,English-Latin1,English-Latin1,0.4956619802253908,0.3302345022406996,0.31074093496933186,0.32188851965756987,0.33292799049805083
4-French_Francais-Latin1,Article Nul ne peut être arbitrairement arrêté détenu ni exilé,French_Francais-Latin1,French_Francais-Latin1,0.410328668720177,0.28833943175890575,0.255922739643632,0.3021121032533893,0.291022992974052
4-Spanish-Latin1,Artículo Toda persona tiene derecho a la libertad de reunión y de asociación pacíficas,Spanish-Latin1,Spanish-Latin1,0.5058377425980076,0.3367033844555336,0.3774772007280963,0.3327420821359118,0.3128718220235137
4-Italian-Latin1,Nessun individuo potrà essere arbitrariamente privato della sua proprietà,Italian-Latin1,Italian-Latin1,0.44940979436623085,0.26769049935823125,0.28184053267908166,0.31358389094069344,0.2562550630480632
4-German_Deutsch-Latin1,Artikel Jeder hat das Recht sich innerhalb eines Staates frei zu bewegen und seinen Aufenthaltsort frei zu wählen,German_Deutsch-Latin1,German_Deutsch-Latin1,0.4817029786920035,0.2901700372452038,0.28436881323654206,0.27382065113310067,0.22507290835340207
5-English-Latin1,All children whether born in or out of wedlock shall enjoy the same social protection,English-Latin1,English-Latin1,0.44641289070734835,0.31766180333692107,0.27567336411647686,0.27721682562643923,0.3234623109142546
