index,Test Set,Expected,Actual,English-Latin1,French_Francais-Latin1,Spanish-Latin1,Italian-Latin1,German_Deutsch-Latin1
0-English-Latin1,Proclaims this Universal Declaration of Human Rights as a common standard of achievement for all peoples and all nations to the end that every individual and every organ of society keeping this Declaration constantly in mind shall strive by teaching and education to promote respect for these rights and freedoms and by progressive measures national and international to secure their universal and effective recognition and observance both among the peoples of Member States themselves and among the peoples of territories under their jurisdiction,English-Latin1,English-Latin1,0.3703490212669206,0.2948655638380828,0.3020356292776758,0.28819872361768145,0.3039369020632406
0-French_Francais-Latin1,Article Tout individu a droit à la liberté d opinion et d expression ce qui implique le droit de ne pas être inquiété pour ses opinions et celui de chercher de recevoir et de répandre sans considérations de frontières les informations et les idées par quelque moyen d expression que ce soit,French_Francais-Latin1,French_Francais-Latin1,0.4381999095087081,0.38310080345244873,0.37950017290061894,0.3847020602889893,0.35102414488261113
0-Spanish-Latin1,Artículo Toda persona tiene derecho a un nivel de vida adecuado que le asegure así como a su familia la salud y el bienestar y en especial la alimentación el vestido la vivienda la asistencia médica y los servicios sociales necesarios tiene asimismo derecho a los seguros en caso de desempleo enfermedad invalidez viudez vejez y otros casos de pérdida de sus medios de subsistencia por circunstancias independientes de su voluntad,Spanish-Latin1,Spanish-Latin1,0.41599148298269184,0.3531650252445325,0.3640054212347896,0.35742869364936974,0.32727392187507576
0-Italian-Latin1,DICHIARAZIONE UNIVERSALE DEI DIRITTI UMANI Preambolo Considerato che il riconoscimento della dignità inerente a tutti i membri della famiglia umana e dei loro diritti uguali ed inalienabili costituisce il fondamento della libertà della giustizia e della pace nel mondo Considerato che il disconoscimento e il disprezzo dei diritti umani hanno portato ad atti di barbarie che offendono la coscienza dell umanità e che l avvento di un mondo in cui gli esseri umani godano della libertà di parola e di credo e della libertà dal timore e dal bisogno è stato proclamato come la più alta aspirazione dell uomo Considerato che è indispensabile che i diritti umani siano protetti da norme giuridiche se si vuole evitare che l uomo sia costretto a ricorrere come ultima istanza alla ribellione contro la tirannia e l oppressione Considerato che è indispensabile promuovere lo sviluppo di rapporti amichevoli tra le Nazioni Considerato che i popoli delle Nazioni Unite hanno riaffermato nello Statuto la loro fede nei diritti umani fondamentali nella dignità e nel valore della persona umana nell uguaglianza dei diritti dell uomo e della donna ed hanno deciso di promuovere il progresso sociale e un miglior tenore di vita in una maggiore libertà Considerato che gli Stati membri si sono impegnati a perseguire in cooperazione con le Nazioni Unite il rispetto e l osservanza universale dei diritti umani e delle libertà fondamentali Considerato che una concezione comune di questi diritti e di questa libertà è della massima importanza per la piena realizzazione di questi impegni L ASSEMBLEA GENERALE proclama la presente dichiarazione universale dei diritti umani come ideale comune da raggiungersi da tutti i popoli e da tutte le Nazioni al fine che ogni individuo ed ogni organo della società avendo costantemente presente questa Dichiarazione si sforzi di promuovere con l insegnamento e l educazione il rispetto di questi diritti e di queste libertà e di garantirne mediante misure progressive di carattere nazionale e internazionale l universale ed effettivo riconoscimento e rispetto tanto fra i popoli degli stessi Stati membri quanto fra quelli dei territori sottoposti alla loro giurisdizione,Italian-Latin1,Italian-Latin1,0.3929174783039615,0.32793542103563855,0.3469202617028062,0.3451058222123119,0.3172738513361688
0-German_Deutsch-Latin1,Alle haben Anspruch auf gleichen Schutz gegen jede Diskriminierung die gegen diese Erklärung verstößt und gegen jede Aufhetzung zu einer derartigen Diskriminierung,German_Deutsch-Latin1,German_Deutsch-Latin1,0.36989050156182296,0.2813759622066358,0.27108364979687294,0.2628135727704369,0.26564601125304504
1-English-Latin1,All are entitled to equal protection against any discrimination in violation of this Declaration and against any incitement to such discrimination,English-Latin1,English-Latin1,0.36206415403804015,0.3063844987626117,0.3282476732627013,0.3051664404159921,0.30266383159084825
1-French_Francais-Latin1,Ils ont des droits égaux au regard du mariage durant le mariage et lors de sa dissolution,French_Francais-Latin1,French_Francais-Latin1,0.4084539202045834,0.3404229009188152,0.35026081104771917,0.32982013325789344,0.3405207360488024
1-Spanish-Latin1,Artículo Todo ser humano tiene derecho en todas partes al reconocimiento de su personalidad jurídica,Spanish-Latin1,Spanish-Latin1,0.35565316598418933,0.31327672248482963,0.3197640114126878,0.31510948696922136,0.3069292967538404
1-Italian-Latin1,Articolo Nessun individuo potrà essere sottoposto ad interferenze arbitrarie nella sua vita privata nella sua famiglia nella sua casa nella sua corrispondenza né a lesione del suo onore e della sua reputazione,Italian-Latin1,Italian-Latin1,0.36621946194058896,0.2873203426722699,0.31410782080516153,0.3334397772563671,0.27024526235020047
1-German_Deutsch-Latin1,Artikel Jeder hat das Recht auf Meinungsfreiheit und freie Meinungsäußerung dieses Recht schließt die Freiheit ein Meinungen ungehindert anzuhängen sowie über Medien jeder Art und ohne Rücksicht auf Grenzen Informationen und Gedankengut zu suchen zu empfangen und zu verbreiten,German_Deutsch-Latin1,German_Deutsch-Latin1,0.37639889152519385,0.3005798518555011,0.2780097013439955,0.26848857723120784,0.26206161394536626
2-English-Latin1,No one may be compelled to belong to an association,English-Latin1,English-Latin1,0.41884229313425625,0.35691535250658424,0.4076929096290618,0.4051289335065583,0.35390400826483875
2-French_Francais-Latin1,Article Tout individu a droit à la vie à la liberté et à la sûreté de sa personne,French_Francais-Latin1,Italian-Latin1,0.5131659920554298,0.36368825067262145,0.41238556051389164,0.5136670718019151,0.36572569336451244
2-Spanish-Latin1,Toda personal tiene derecho sin discriminación alguna a igual salario por trabajo igual,Spanish-Latin1,Spanish-Latin1,0.35011526314684993,0.29712397146105507,0.28373120715426786,0.32119092359009294,0.2887098037454627
