index,Test Set,Expected,Actual,English-Latin1,French_Francais-Latin1,Spanish-Latin1,Italian-Latin1,German_Deutsch-Latin1
0-English-Latin1,be,English-Latin1,German_Deutsch-Latin1,0.5424288785108375,0.5477020260657217,0.4938446248777891,0.5839416587062084,0.6199321164479669
0-French_Francais-Latin1,doit,French_Francais-Latin1,French_Francais-Latin1,0.3709509934737365,0.27447304330126665,0.25906057700638285,0.2607311317366047,0.3281351267293182
0-Spanish-Latin1,humanos,Spanish-Latin1,English-Latin1,0.24498433771278535,0.2603046512148766,0.2444369946663181,0.18235511426178014,0.19983101748792206
0-Italian-Latin1,da,Italian-Latin1,Spanish-Latin1,0.5192317144800124,0.36397241766834254,0.48092071884429494,0.5616627951494909,0.42726338025614813
0-German_Deutsch-Latin1,der,German_Deutsch-Latin1,Spanish-Latin1,0.46095100539631034,0.35687875925840346,0.45763385457763084,0.47363310991557434,0.3866061131661388
1-English-Latin1,education,English-Latin1,French_Francais-Latin1,0.21889064830011304,0.22411999599875387,0.19857213765552403,0.19307156112900703,0.2010719385684614
1-French_Francais-Latin1,défense,French_Francais-Latin1,French_Francais-Latin1,0.2613155141590574,0.2100713737840127,0.23880135616772483,0.2541765418164784,0.22543853959151094
1-Spanish-Latin1,su,Spanish-Latin1,French_Francais-Latin1,0.3582385864907008,0.36274196475777876,0.4179048033945694,0.3903787840713006,0.39194362523249554
1-Italian-Latin1,indipendente,Italian-Latin1,German_Deutsch-Latin1,0.23795073763584068,0.225841986631975,0.23393988978498642,0.2337574502919317,0.24191282857439586
1-German_Deutsch-Latin1,wird,German_Deutsch-Latin1,English-Latin1,0.3288579330071555,0.3757317320671173,0.22390199681610032,0.22192075622930027,0.2275766469904521
2-English-Latin1,or,English-Latin1,German_Deutsch-Latin1,0.4222668740817561,0.3980292755060557,0.40498015714431695,0.376941334599342,0.47368506231403296
2-French_Francais-Latin1,et,French_Francais-Latin1,German_Deutsch-Latin1,0.43844565955313736,0.40753254168816055,0.36699410899013984,0.37279410867916063,0.4819203228778947
2-Spanish-Latin1,religión,Spanish-Latin1,Spanish-Latin1,0.32030706594191893,0.20064035301919117,0.19411253263497666,0.19578269055965442,0.21354922668853055
2-Italian-Latin1,esso,Italian-Latin1,Italian-Latin1,0.3681330153717949,0.2754606472447486,0.28278802680445664,0.3332086544384407,0.24537466098280264
2-German_Deutsch-Latin1,Jeder,German_Deutsch-Latin1,German_Deutsch-Latin1,0.4456434318968392,0.28571484239401995,0.2979122028922642,0.3367779140933,0.235514088884461
3-English-Latin1,social,English-Latin1,Spanish-Latin1,0.24047868133648137,0.2284932431998365,0.2849791048436883,0.2533545846761554,0.203122740190481
3-French_Francais-Latin1,être,French_Francais-Latin1,French_Francais-Latin1,0.4456863572612593,0.31474493628437294,0.324160507749163,0.337454531311852,0.27513603430529093
3-Spanish-Latin1,a,Spanish-Latin1,Italian-Latin1,0.6836520651415651,0.5917637569456892,0.642577086656034,0.7302504700347785,0.5640066479795599
3-Italian-Latin1,vestiario,Italian-Latin1,English-Latin1,0.25889003371310604,0.2770264132444498,0.20641063298621215,0.23542474138205374,0.22661508920792986
3-German_Deutsch-Latin1,zu,German_Deutsch-Latin1,German_Deutsch-Latin1,0.45628365357910433,0.3333333333333333,0.38436213991769547,0.36997635933806144,0.3333333333333333
4-English-Latin1,rights,English-Latin1,English-Latin1,0.2403749987006063,0.23952559196204876,0.22715692626014405,0.1925474609669117,0.22608477709550479
4-French_Francais-Latin1,a,French_Francais-Latin1,Spanish-Latin1,0.6160531352020714,0.5917637569456892,0.7308163664091007,0.7302504700347785,0.5640066479795599
4-Spanish-Latin1,Toda,Spanish-Latin1,Spanish-Latin1,0.33929456010877085,0.26964833118790754,0.2770237920365927,0.3344741071397582,0.26332962320818887
4-Italian-Latin1,al,Italian-Latin1,English-Latin1,0.4477270946269867,0.5503153534190978,0.4479222045011519,0.4836022946119236,0.4461854586891391
4-German_Deutsch-Latin1,darf,German_Deutsch-Latin1,English-Latin1,0.31041123705817364,0.32789148793572165,0.2770141630518908,0.28423829519123983,0.26842367701833736
5-English-Latin1,during,English-Latin1,German_Deutsch-Latin1,0.24948967855059245,0.21973582559152832,0.20509516552196283,0.2438458826549265,0.26380200785265584
5-French_Francais-Latin1,réellement,French_Francais-Latin1,French_Francais-Latin1,0.23742733575659314,0.18814630517762873,0.16311665435215186,0.1831959897609496,0.2199328266586866
5-Spanish-Latin1,habrán,Spanish-Latin1,Spanish-Latin1,0.25452045927605443,0.21343454142662485,0.22948477966187705,0.23361498456168525,0.22774999888153277
5-Italian-Latin1,nel,Italian-Latin1,English-Latin1,0.352659109921541,0.36297896010739883,0.3412929333549803,0.36111186200900125,0.3198849654287567
5-German_Deutsch-Latin1,zu,German_Deutsch-Latin1,German_Deutsch-Latin1,0.45628365357910433,0.3333333333333333,0.38436213991769547,0.36997635933806144,0.3333333333333333
6-English-Latin1,mind,English-Latin1,English-Latin1,0.407189196631931,0.2730192846622612,0.29611464666553294,0.2916942874255875,0.3676787684815176
6-French_Francais-Latin1,de,French_Francais-Latin1,Spanish-Latin1,0.5608495066360474,0.4975603443364897,0.6176523509351729,0.5900622707674145,0.5617127873170201
6-Spanish-Latin1,y,Spanish-Latin1,English-Latin1,0.75,0.8758389261744967,0.5561536416799575,0.5,0.5
6-Italian-Latin1,violino,Italian-Latin1,Italian-Latin1,0.29302087840175634,0.21845382923738615,0.20661551016220725,0.2546584198293767,0.19950840671753337
6-German_Deutsch-Latin1,einer,German_Deutsch-Latin1,German_Deutsch-Latin1,0.31796710328638883,0.26853781942377136,0.25309156518164544,0.26263331387493716,0.25849306470643096
7-English-Latin1,international,English-Latin1,French_Francais-Latin1,0.2025168975202886,0.2035626050731796,0.20024858704322668,0.19510928067724145,0.18486277086268196
7-French_Francais-Latin1,Membres,French_Francais-Latin1,French_Francais-Latin1,0.3100500508544832,0.25916838884477006,0.3003623646274749,0.22285609036915993,0.23400285005090068
7-Spanish-Latin1,su,Spanish-Latin1,French_Francais-Latin1,0.3582385864907008,0.36274196475777876,0.4179048033945694,0.3903787840713006,0.39194362523249554
7-Italian-Latin1,di,Italian-Latin1,Italian-Latin1,0.5697519397140737,0.37897480658377497,0.4383620859624078,0.4298594915033007,0.43887457207726194
7-German_Deutsch-Latin1,Streben,German_Deutsch-Latin1,German_Deutsch-Latin1,0.34046925006538103,0.27704305602447526,0.23470123593677067,0.2729936191768761,0.25546644555275655
8-English-Latin1,the,English-Latin1,Italian-Latin1,0.40846353038105454,0.3926274996388113,0.32827512535077613,0.4478651676143224,0.34330112339266117
8-French_Francais-Latin1,droit,French_Francais-Latin1,French_Francais-Latin1,0.30663014412514067,0.23175150486922722,0.21179139618595585,0.22596248866238663,0.27547045641123197
8-Spanish-Latin1,sociales,Spanish-Latin1,French_Francais-Latin1,0.26257371082664804,0.2412430061297769,0.2671712401977767,0.20526069791244309,0.19407989982021506
8-Italian-Latin1,delle,Italian-Latin1,French_Francais-Latin1,0.34148913215221627,0.309049193704872,0.4112607180967149,0.34227961077815144,0.34272227291569374
8-German_Deutsch-Latin1,unverschuldete,German_Deutsch-Latin1,German_Deutsch-Latin1,0.30434570789367726,0.20277137541265575,0.20083432359513267,0.2006938415250574,0.17811352123806293
9-English-Latin1,right,English-Latin1,German_Deutsch-Latin1,0.26157207943988453,0.24617693474778082,0.1944318368557402,0.22463870446139697,0.29037458523557413
9-French_Francais-Latin1,Toute,French_Francais-Latin1,Italian-Latin1,0.3047264236742372,0.30647489307820636,0.29221402147837583,0.307905940578721,0.23148010500887983
9-Spanish-Latin1,por,Spanish-Latin1,German_Deutsch-Latin1,0.32183423734982997,0.3457128302013563,0.3342234478980916,0.33791842695401175,0.3766111930148117
9-Italian-Latin1,lesioni,Italian-Latin1,French_Francais-Latin1,0.2678155040065492,0.22183824311297162,0.28880434737610766,0.21740162197281443,0.20513136495835868
9-German_Deutsch-Latin1,Lande,German_Deutsch-Latin1,French_Francais-Latin1,0.3215462812981346,0.332714112289813,0.39480022828330563,0.3645541201322862,0.34093902612778454
10-English-Latin1,of,English-Latin1,German_Deutsch-Latin1,0.3741625982150898,0.35408596683930543,0.3436517896706981,0.35025515454771283,0.4266394684458595
10-French_Francais-Latin1,développement,French_Francais-Latin1,German_Deutsch-Latin1,0.2126490656956003,0.20401907666143623,0.17610668223111905,0.17868351509761074,0.21543188912475944
10-Spanish-Latin1,asegure,Spanish-Latin1,Spanish-Latin1,0.27215588690735276,0.2575822004994407,0.2477189600846659,0.260918976393715,0.22680498526929357
10-Italian-Latin1,costretto,Italian-Latin1,Italian-Latin1,0.2696384644131694,0.18056394383653088,0.17704207489536522,0.24367197596532564,0.1477981584469982
10-German_Deutsch-Latin1,Rechte,German_Deutsch-Latin1,German_Deutsch-Latin1,0.377756480295533,0.28194508112692607,0.2706168701594133,0.2730956303089369,0.2741996985330055
11-English-Latin1,of,English-Latin1,German_Deutsch-Latin1,0.3741625982150898,0.35408596683930543,0.3436517896706981,0.35025515454771283,0.4266394684458595
11-French_Francais-Latin1,indépendant,French_Francais-Latin1,German_Deutsch-Latin1,0.20229143448144649,0.21517353472170445,0.17367229369058348,0.1703372347545985,0.22443624177792976
11-Spanish-Latin1,a,Spanish-Latin1,Italian-Latin1,0.6836520651415651,0.5917637569456892,0.642577086656034,0.7302504700347785,0.5640066479795599
11-Italian-Latin1,lo,Italian-Latin1,Spanish-Latin1,0.5116936985011199,0.39751282684000233,0.3840377458798511,0.5310542821266736,0.34514491427338617
11-German_Deutsch-Latin1,bilden,German_Deutsch-Latin1,German_Deutsch-Latin1,0.29812211944085515,0.23490870643655778,0.27755589030396177,0.29343219167286677,0.24235729252403845
12-English-Latin1,has,English-Latin1,French_Francais-Latin1,0.4019934475642962,0.4421249224703172,0.4075129341231251,0.3761413473254416,0.3633304958653392
12-French_Francais-Latin1,constamment,French_Francais-Latin1,French_Francais-Latin1,0.2619731360879143,0.19587645124654207,0.19165460637843626,0.21705329187119557,0.21464784077944424
12-Spanish-Latin1,violen,Spanish-Latin1,French_Francais-Latin1,0.2652970804796078,0.2575463626044958,0.28748289318810455,0.2746368282346017,0.2754222799383445
12-Italian-Latin1,o,Italian-Latin1,Italian-Latin1,0.715440715883669,0.6182149626448727,0.5152511961722488,0.6843182642161921,0.5161699509893641
12-German_Deutsch-Latin1,zu,German_Deutsch-Latin1,German_Deutsch-Latin1,0.45628365357910433,0.3333333333333333,0.38436213991769547,0.36997635933806144,0.3333333333333333
13-English-Latin1,the,English-Latin1,Italian-Latin1,0.40846353038105454,0.3926274996388113,0.32827512535077613,0.4478651676143224,0.34330112339266117
13-French_Francais-Latin1,défense,French_Francais-Latin1,French_Francais-Latin1,0.2613155141590574,0.2100713737840127,0.23880135616772483,0.2541765418164784,0.22543853959151094
