index,Test Set,Expected,Actual,English-Latin1,French_Francais-Latin1,Spanish-Latin1,Italian-Latin1,German_Deutsch-Latin1
0-English-Latin1,livelihood,English-Latin1,English-Latin1,0.35264663548486835,0.21493594550507877,0.20139229558029928,0.18986664896146035,0.15159984234476334
0-French_Francais-Latin1,était,French_Francais-Latin1,French_Francais-Latin1,0.2945206515425443,0.24181739879414296,0.11118238186871926,0.1111111111111111,0.2842712842712843
0-Spanish-Latin1,pertenecer,Spanish-Latin1,German_Deutsch-Latin1,0.24590528719498334,0.22733606215897773,0.24918147130239296,0.2659089065735812,0.30657673520173984
0-Italian-Latin1,Non,Italian-Latin1,English-Latin1,0.3230291447682752,0.4352190368337365,0.366440413931234,0.3182712104652033,0.3833540639732191
0-German_Deutsch-Latin1,zu,German_Deutsch-Latin1,German_Deutsch-Latin1,0.44812768569674644,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
1-English-Latin1,progressive,English-Latin1,English-Latin1,0.33423402068574065,0.3143500486121439,0.3150920248734003,0.32332417861712703,0.16525402006103557
1-French_Francais-Latin1,compte,French_Francais-Latin1,Spanish-Latin1,0.3464969095270482,0.3272858313968269,0.35475028109811146,0.3363431061552757,0.2200752445447705
1-Spanish-Latin1,Este,Spanish-Latin1,Spanish-Latin1,0.4022691251056636,0.2984680965970036,0.35213290154374,0.38318258149325585,0.3145069697861924
1-Italian-Latin1,riposo,Italian-Latin1,Italian-Latin1,0.3228365841749544,0.28456110667528484,0.11045986177565126,0.229660838116249,0.20709350844791025
1-German_Deutsch-Latin1,und,German_Deutsch-Latin1,English-Latin1,0.4567213114365896,0.5802250156275234,0.43181818181818177,0.44725450944180906,0.3757824683567258
2-English-Latin1,conditions,English-Latin1,French_Francais-Latin1,0.38849877565296037,0.44210608085739356,0.30949294803984906,0.2607353383045414,0.25139865307833287
2-French_Francais-Latin1,foi,French_Francais-Latin1,Italian-Latin1,0.3797466747893187,0.18791194828708926,0.2937194172088335,0.43616218764733616,0.30264321142839595
